start,end,load
2021-01-01 18:00:00-05:00,2021-01-01 19:00:00-05:00,76009.06
2021-01-01 19:00:00-05:00,2021-01-01 20:00:00-05:00,75508.94
2021-01-01 20:00:00-05:00,2021-01-01 21:00:00-05:00,74402.63
2021-01-01 21:00:00-05:00,2021-01-01 22:00:00-05:00,72969.18
2021-01-01 22:00:00-05:00,2021-01-01 23:00:00-05:00,70495.34
2021-01-01 23:00:00-05:00,2021-01-02 00:00:00-05:00,68565.01
2021-01-02 00:00:00-05:00,2021-01-02 01:00:00-05:00,66404.62
2021-01-02 01:00:00-05:00,2021-01-02 02:00:00-05:00,64870.23
2021-01-02 02:00:00-05:00,2021-01-02 03:00:00-05:00,63930.37
2021-01-02 03:00:00-05:00,2021-01-02 04:00:00-05:00,63715.76
2021-01-02 04:00:00-05:00,2021-01-02 05:00:00-05:00,63763.34
2021-01-02 05:00:00-05:00,2021-01-02 06:00:00-05:00,64578.24
2021-01-02 06:00:00-05:00,2021-01-02 07:00:00-05:00,66228.63
2021-01-02 07:00:00-05:00,2021-01-02 08:00:00-05:00,68416.77
2021-01-02 08:00:00-05:00,2021-01-02 09:00:00-05:00,70623.0
2021-01-02 09:00:00-05:00,2021-01-02 10:00:00-05:00,72662.58
2021-01-02 10:00:00-05:00,2021-01-02 11:00:00-05:00,74414.36
2021-01-02 11:00:00-05:00,2021-01-02 12:00:00-05:00,74869.97
2021-01-02 12:00:00-05:00,2021-01-02 13:00:00-05:00,74343.97
2021-01-02 13:00:00-05:00,2021-01-02 14:00:00-05:00,73282.41
2021-01-02 14:00:00-05:00,2021-01-02 15:00:00-05:00,72382.78
2021-01-02 15:00:00-05:00,2021-01-02 16:00:00-05:00,71923.03
2021-01-02 16:00:00-05:00,2021-01-02 17:00:00-05:00,72372.7
2021-01-02 17:00:00-05:00,2021-01-02 18:00:00-05:00,75042.22
2021-01-02 18:00:00-05:00,2021-01-02 19:00:00-05:00,78150.65
2021-01-02 19:00:00-05:00,2021-01-02 20:00:00-05:00,78450.46
2021-01-02 20:00:00-05:00,2021-01-02 21:00:00-05:00,77569.96
2021-01-02 21:00:00-05:00,2021-01-02 22:00:00-05:00,76324.27
2021-01-02 22:00:00-05:00,2021-01-02 23:00:00-05:00,74408.99
2021-01-02 23:00:00-05:00,2021-01-03 00:00:00-05:00,71976.36
2021-01-03 00:00:00-05:00,2021-01-03 01:00:00-05:00,69842.66
2021-01-03 01:00:00-05:00,2021-01-03 02:00:00-05:00,68575.87
2021-01-03 02:00:00-05:00,2021-01-03 03:00:00-05:00,67103.35
2021-01-03 03:00:00-05:00,2021-01-03 04:00:00-05:00,66661.4
2021-01-03 04:00:00-05:00,2021-01-03 05:00:00-05:00,66858.72
2021-01-03 05:00:00-05:00,2021-01-03 06:00:00-05:00,67591.58
2021-01-03 06:00:00-05:00,2021-01-03 07:00:00-05:00,69228.43
2021-01-03 07:00:00-05:00,2021-01-03 08:00:00-05:00,71257.08
2021-01-03 08:00:00-05:00,2021-01-03 09:00:00-05:00,73311.32
2021-01-03 09:00:00-05:00,2021-01-03 10:00:00-05:00,74377.0
2021-01-03 10:00:00-05:00,2021-01-03 11:00:00-05:00,74407.58
2021-01-03 11:00:00-05:00,2021-01-03 12:00:00-05:00,73432.66
2021-01-03 12:00:00-05:00,2021-01-03 13:00:00-05:00,72356.86
2021-01-03 13:00:00-05:00,2021-01-03 14:00:00-05:00,71355.52
2021-01-03 14:00:00-05:00,2021-01-03 15:00:00-05:00,70384.14
2021-01-03 15:00:00-05:00,2021-01-03 16:00:00-05:00,69871.4
2021-01-03 16:00:00-05:00,2021-01-03 17:00:00-05:00,70587.85
2021-01-03 17:00:00-05:00,2021-01-03 18:00:00-05:00,73675.06
2021-01-03 18:00:00-05:00,2021-01-03 19:00:00-05:00,77426.99
2021-01-03 19:00:00-05:00,2021-01-03 20:00:00-05:00,78097.73
2021-01-03 20:00:00-05:00,2021-01-03 21:00:00-05:00,77594.07
2021-01-03 21:00:00-05:00,2021-01-03 22:00:00-05:00,76210.24
2021-01-03 22:00:00-05:00,2021-01-03 23:00:00-05:00,73926.99
2021-01-03 23:00:00-05:00,2021-01-04 00:00:00-05:00,71079.95
